Name;Company;Industry;CO2_emissions_t;Source_CO2_emissions;Source;City;Province;Latitude;Longitude
Fábrica de aluminio de Aluar;Aluar;Aluminium;612057.60;Industrial point source;Aluminium;Puerto Madryn;Chubut;-42.63615141;-65.1028453
Bunge Campana;Bunge Argentina S.A;Ammonia;27027.00;Industrial point source;Ammonia;Campana;Buenos Aires;-34.09354048;-59.00465275
Profertil Bahia Blanca;Profertil S.A.;Ammonia;710621.00;Industrial point source;Ammonia;Bahia Blanca;Buenos Aires;-38.78424491;-62.28168815
Austin Powder;Austin Powder;Ammonia;54600.00;Industrial point source;Ammonia;El Galpón;Salta;-25.37919283;-64.65198658
Bioenergía la Corona;Bioenergia La Corona S.A.;Bioethanol;24300.00;Biogenic point source;Bioethanol;Concepción;Tucumán;-27.3548157;-65.60294134
Bioenergías Agropecuarias S.A.;BIOENERGÍASAGROPECUARIAS S.A.;Bioethanol;24750.00;Biogenic point source;Bioethanol;General Obligado;Santa Fe;-28.48761165;-59.39684115
Ingenio Santa Rosa;Bioenergía Santa Rosa S.A.;Bioethanol;24300.00;Biogenic point source;Bioethanol;Monteros;Tucumán;-27.22139848;-65.51695443
Ingenio Ledesma;Bio Ledesma S.A.;Bioethanol;74250.00;Biogenic point source;Bioethanol;Libertador General San Martin;Jujuy;-23.82436777;-64.78800974
Bio San Isidro;Bio San Isidro S.A.;Bioethanol;10125.00;Biogenic point source;Bioethanol;Campo Santo;Salta;-24.6810765;-65.09802875
Biotrinidad;Biotrinidad S.A.;Bioethanol;21600.00;Biogenic point source;Bioethanol;San Miguel de Tucumán;Tucumán;-26.82826317;-65.20884372
Compañía Bioenergética La Florida;Compañía Bioenergética La Florida S.A.;Bioethanol;93750.00;Biogenic point source;Bioethanol;La Florida;Tucumán;-26.81731107;-65.08538766
Energías Ecológicas de Tucumán;Energías Ecológicas de Tucumán - Grupo Colombres;Bioethanol;24750.00;Biogenic point source;Bioethanol;Aguilares;Tucumán;-27.4571049;-65.60985513
Fronterita Energía S.A.;Fronterita Energia S.A.;Bioethanol;24000.00;Biogenic point source;Bioethanol;Juan XXIII;Tucumán;-27.0235712;-65.30157927
Ingenio Río Grande;Rio Grande Energia S.A.;Bioethanol;16200.00;Biogenic point source;Bioethanol;La Mendieta;Jujuy;-24.31258742;-64.9683694
ACA;Aca Bio Cooperativa Ltda.;Bioethanol;93750.00;Biogenic point source;Bioethanol;Villa María;Córdoba;-32.41597156;-63.16162482
Bio IV;Bioetanol Rio Cuarto A.A.;Bioethanol;75000.00;Biogenic point source;Bioethanol;Río Cuarto;Córdoba;-33.17998671;-64.38329425
Diaser;Derivados San Luis;Bioethanol;69300.00;Biogenic point source;Bioethanol;San Luis;San Luis;-33.32563333;-66.36372385
Maíz Energía;MAÍZ ENERGÍA S.A.;Bioethanol;44100.00;Biogenic point source;Bioethanol;Ciudad de Córdoba;Córdoba;-31.37191425;-64.18185929
Promaíz;Promaiz S.A.;Bioethanol;165000.00;Biogenic point source;Bioethanol;Alejandro Roca;Córdoba;-33.36537538;-63.71712134
Vicentin;Vicentin S.A.I.C.;Bioethanol;86250.00;Biogenic point source;Bioethanol;Avellaneda;Santa Fe;-31.62099492;-60.71499331
Seaboard Energía Renovables y Alimentos;Seaboard Energía Renovables y Alimentos;Bioethanol;185625.00;Biogenic point source;Bioethanol;Orán;Salta;-23.2022408;-64.29616772
Bioenergética Leales S.A.;Bioenergética Leales S.A.;Bioethanol;31500.00;Biogenic point source;Bioethanol;Cevil Pozo;Tucumán;-26.84424771;-65.14264897
