Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude);Source CO2 emissions;Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data
Fábrica de aluminio de Aluar;Aluar;Aluminium;612057.6;Industrial point source;Puerto Madryn;Chubut;-42.63615141;-65.1028453;estimated;Aluminium;460000;;0.8316;;2021
Bunge Campana;Bunge Argentina S.A;Ammonia;26486.46;Industrial point source;Campana;Buenos Aires;-34.09354048;-59.00465275;estimated;Ammonia;29700;;0.98;N-Ren;2021
Profertil Bahia Blanca;Profertil S.A.;Ammonia;710621;Industrial point source;Bahia Blanca;Buenos Aires;-38.78424491;-62.28168815;Sustainability report Profertil 2021;Ammonia;790000;;0.98;Haldor Topsoe;2021
Austin Powder;Austin Powder;Ammonia;53508;Industrial point source;El Galpón;Salta;-25.37919283;-64.65198658;estimated;Ammonia;60000;;0.98;Girdler Corp.;2021
Bioenergía la Corona;Bioenergia La Corona S.A.;Bioethanol;21600;Biogenic point source;Concepción;Tucumán;-27.3548157;-65.60294134;estimated;Bioethanol;25644.6;;0.8;;
Bioenergías Agropecuarias S.A.;BIOENERGÍASAGROPECUARIAS S.A.;Bioethanol;22000;Biogenic point source;General Obligado;Santa Fe;-28.48761165;-59.39684115;estimated;Bioethanol;26119.5;;0.8;;
Ingenio Santa Rosa;Bioenergía Santa Rosa S.A.;Bioethanol;21600;Biogenic point source;Monteros;Tucumán;-27.22139848;-65.51695443;estimated;Bioethanol;25644.6;;0.8;;
Ingenio Ledesma;Bio Ledesma S.A.;Bioethanol;66000;Biogenic point source;Libertador General San Martin;Jujuy;-23.82436777;-64.78800974;estimated;Bioethanol;78358.5;;0.8;;
Bio San Isidro;Bio San Isidro S.A.;Bioethanol;9000;Biogenic point source;Campo Santo;Salta;-24.6810765;-65.09802875;estimated;Bioethanol;10685.25;;0.8;;
Biotrinidad;Biotrinidad S.A.;Bioethanol;19200;Biogenic point source;San Miguel de Tucumán;Tucumán;-26.82826317;-65.20884372;estimated;Bioethanol;22795.2;;0.8;;
Compañía Bioenergética La Florida;Compañía Bioenergética La Florida S.A.;Bioethanol;83333.33333;Biogenic point source;La Florida;Tucumán;-26.81731107;-65.08538766;estimated;Bioethanol;98937.5;;0.8;;
Energías Ecológicas de Tucumán;Energías Ecológicas de Tucumán - Grupo Colombres;Bioethanol;22000;Biogenic point source;Aguilares;Tucumán;-27.4571049;-65.60985513;estimated;Bioethanol;26119.5;;0.8;;
Fronterita Energía S.A.;Fronterita Energia S.A.;Bioethanol;21333.33333;Biogenic point source;Juan XXIII;Tucumán;-27.0235712;-65.30157927;estimated;Bioethanol;25328;;0.8;;
Ingenio Río Grande;Rio Grande Energia S.A.;Bioethanol;14400;Biogenic point source;La Mendieta;Jujuy;-24.31258742;-64.9683694;estimated;Bioethanol;17096.4;;0.8;;
ACA;Aca Bio Cooperativa Ltda.;Bioethanol;83333.33333;Biogenic point source;Villa María;Córdoba;-32.41597156;-63.16162482;estimated;Bioethanol;98937.5;;0.8;;
Bio IV;Bioetanol Rio Cuarto A.A.;Bioethanol;66666.66667;Biogenic point source;Río Cuarto;Córdoba;-33.17998671;-64.38329425;estimated;Bioethanol;79150;;0.8;;
Diaser;Derivados San Luis;Bioethanol;61600;Biogenic point source;San Luis;San Luis;-33.32563333;-66.36372385;estimated;Bioethanol;73134.6;;0.8;;
Maíz Energía;MAÍZ ENERGÍA S.A.;Bioethanol;39200;Biogenic point source;Ciudad de Córdoba;Córdoba;-31.37191425;-64.18185929;estimated;Bioethanol;46540.2;;0.8;;
Promaíz;Promaiz S.A.;Bioethanol;146666.6667;Biogenic point source;Alejandro Roca;Córdoba;-33.36537538;-63.71712134;estimated;Bioethanol;174130;;0.8;;
Vicentin;Vicentin S.A.I.C.;Bioethanol;76666.66667;Biogenic point source;Avellaneda;Santa Fe;-31.62099492;-60.71499331;estimated;Bioethanol;91022.5;;0.8;;
Seaboard Energía Renovables y Alimentos;Seaboard Energía Renovables y Alimentos;Bioethanol;165000;Biogenic point source;Orán;Salta;-23.2022408;-64.29616772;estimated;Bioethanol;195896.25;;0.8;;
Bioenergética Leales S.A.;Bioenergética Leales S.A.;Bioethanol;28000;Biogenic point source;Cevil Pozo;Tucumán;-26.84424771;-65.14264897;estimated;Bioethanol;33243;;0.8;;
Bio Atar S.A.;Bio Atar S.A.;Bioethanol;44000;Biogenic point source;Alderetes;Tucumán;-26.83469939;-65.15279485;estimated;Bioethanol;52239;;0.8;;
Arauco Argentina S.A. ;Arauco Argentina S.A. ;Pulp and paper;875000;Industrial point source;Puerto Esperanza;Misiones;-25.97573961;-54.63376934;estimated;Cellulose pulp;350000;;0.87;;
Celulosa Argentina S.A.;Celulosa Argentina S.A.;Pulp and paper;416400;Industrial point source;Capitan Bermudez;Santa Fe;-32.73646168;-60.70218034;estimated;Cellulose pulp;166560;;0.92;;
Papel Prensa S.A.I.C.F.;Papel Prensa S.A.I.C.F.;Pulp and paper;421762.5;Industrial point source;San Pedro;Buenos Aires;-33.7216403;-59.62774924;estimated;Cellulose pulp;168705;;0.66;;
Papel Misionero;Papel Misionero;Pulp and paper;272137.5;Industrial point source;Puerto Leoni;Misiones;-26.93561856;-55.11980442;estimated;Cellulose pulp;108855;;0.9;;
Papelera del NOA S.A.;Papelera del NOA S.A.;Pulp and paper;85425;Industrial point source;Río Blanco;Jujuy;-24.23195846;-65.23014529;estimated;Cellulose pulp;34170;;0.84;;
Fábrica de Papel Ledesma;Fábrica de Papel Ledesma;Pulp and paper;212250;Industrial point source;Libertador General San Martín;Jujuy;-23.82765684;-64.79551334;estimated;Cellulose pulp;84900;;0.67;;
Fana Química SA;Fana Química SA;Pulp and paper;4000;Industrial point source;San José;Entre Ríos;;;estimated;Cellulose pulp;1600;;0.41;;
Fábrica L'Amalí;Loma Negra;Cement;2442352.941;Industrial point source;Olavarría;Buenos Aires;-37.03607735;-60.29810249;https://climatetrace.org/map/argentina-manufacturing-co2;Cement;3200000;;;Integrada;2021
Fábrica Olavarría;Loma Negra;Cement;1144852.941;Industrial point source;Olavarría;Buenos Aires;-36.93725544;-60.16484634;https://climatetrace.org/map/argentina-manufacturing-co2;Cement;1500000;;;Integrada;2021
Fábrica Sierras Bayas;Loma Negra;Cement;;Industrial point source;Sierras Bayas;Buenos Aires;-36.9383899;-60.16503118;https://climatetrace.org/map/argentina-manufacturing-co2;Cement;;;;cerrada;2021
Fábrica Barker;Loma Negra;Cement;;Industrial point source;Benito Juarez;Buenos Aires;-37.68283558;-59.388828;;Cement;;;;Grinding (molienda);
Planta Ramallo;Loma Negra;Cement;;Industrial point source;Ramallo;Buenos Aires;-33.38022978;-60.15325117;;Cement;;;;Grinding (molienda);
Fábrica Catamarca;Loma Negra;Cement;1373823.529;Industrial point source;El Alto;Catamarca;-28.46620076;-65.21491434;https://climatetrace.org/map/argentina-manufacturing-co2;Cement;1800000;;;Integrada;2021
Fábrica San Juan;Loma Negra;Cement;;Industrial point source;Rivadavia;San Juan;-31.54717154;-68.67430483;https://climatetrace.org/map/argentina-manufacturing-co2;Cement;;;;Grinding (molienda);2021
Fábrica Zapala;Loma Negra;Cement;305294.1176;Industrial point source;Zapala;Neuquén;-38.89661841;-70.03773085;https://climatetrace.org/map/argentina-manufacturing-co2;Cement;400000;;;Integrada;2021
Fábrica LomaSer;Loma Negra;Cement;;Industrial point source;Vicente Casares;Buenos Aires;-34.95797683;-58.64295248;;Cement;;;;Blending;
Planta Holcim Capdeville Mendoza;HOLCIM;Cement;534264.7059;Industrial point source;Las Heras;Mendoza;-32.7406102;-68.83721964;https://climatetrace.org/map/argentina-manufacturing-co2;Cement;700000;;;;2021
Planta Holcim Malagueño;HOLCIM;Cement;2366029.412;Industrial point source;Malagueño;Córdoba;-31.47714495;-64.35835512;;Cement;3100000;;;;
Planta Holcim Puesto Viejo;HOLCIM;Cement;763235.2941;Industrial point source;Puesto Viejo;Jujuy;-24.49038325;-64.9570812;;Cement;1000000;;;;
Planta Holcim Campana;HOLCIM;Cement;;Industrial point source;Campana;Buenos Aires;-34.14560719;-59.02034634;;Cement;;;;;
Planta Campana;Cementos Avellaneda;Cement;;Industrial point source;Campana;Buenos Aires;-34.16978546;-59.00184583;;Cement;;;;;
San Jacinto;Cementos Avellaneda;Cement;1831764.706;Industrial point source;Olavarría;Buenos Aires;-36.98156278;-60.24814569;;Cement;2400000;;;;
El Grande;Cementos Avellaneda;Cement;839558.8235;Industrial point source;La Calera;San Luis;-32.799973;-66.85763867;;Cement;1100000;;;;
