Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source;;Potencial producción Metanol [t/a];Consumo de  H2 [t/a];Potencia electrolisis (FC: 60%) [MW]
Fábrica de aluminio de Aluar;Aluar;Aluminium;612057.60;Industrial point source;Puerto Madryn;Chubut;-42.63615141;-65.1028453;Aluminium;460.000;;83.16%;;2021;estimated;1.6;;;;;;;385.184;88.900;846
Bunge Campana;Bunge Argentina S.A;Ammonia;26486.46;Industrial point source;Campana;Buenos Aires;-34.09354048;-59.00465275;Ammonia;29.700;;98%;N-Ren;2021;estimated; 0.91 ;;;Natural gas;;;;16.669;3.847;37
Profertil Bahia Blanca;Profertil S.A.;Ammonia;710621.00;Industrial point source;Bahia Blanca;Buenos Aires;-38.78424491;-62.28168815;Ammonia;790.000;;98%;Haldor Topsoe;2021;Sustainability report Profertil 2021; 1.25 ;;;Natural gas;;https://rs.profertil.com.ar/;;447.213;103.217;982
Austin Powder;Austin Powder;Ammonia;53508.00;Industrial point source;El Galpón;Salta;-25.37919283;-64.65198658;Ammonia;60.000;;98%;Girdler Corp.;2021;estimated; 0.91 ;;;Natural gas;;;;33.674;7.772;74
Bioenergía la Corona;Bioenergia La Corona S.A.;Bioethanol;21600.00;Biogenic point source;Concepción;Tucumán;-27.3548157;-65.60294134;Bioethanol;25.645;;80%;;;estimated;1.052853232;;;Sugar Cane;;Carbio;;13.593;3.137;30
Bioenergías Agropecuarias S.A.;BIOENERGÍASAGROPECUARIAS S.A.;Bioethanol;22000.00;Biogenic point source;General Obligado;Santa Fe;-28.48761165;-59.39684115;Bioethanol;26.120;;80%;;;estimated;1.052853232;;;Sugar Cane;;Carbio;;13.845;3.195;30
Ingenio Santa Rosa;Bioenergía Santa Rosa S.A.;Bioethanol;21600.00;Biogenic point source;Monteros;Tucumán;-27.22139848;-65.51695443;Bioethanol;25.645;;80%;;;estimated;1.052853232;;;Sugar Cane;;Carbio;;13.593;3.137;30
Ingenio Ledesma;Bio Ledesma S.A.;Bioethanol;66000.00;Biogenic point source;Libertador General San Martin;Jujuy;-23.82436777;-64.78800974;Bioethanol;78.359;;80%;;;estimated;1.052853232;;;Sugar Cane;;Carbio;;41.536;9.586;91
Bio San Isidro;Bio San Isidro S.A.;Bioethanol;9000.00;Biogenic point source;Campo Santo;Salta;-24.6810765;-65.09802875;Bioethanol;10.685;;80%;;;estimated;1.052853232;;;Sugar Cane;;Carbio;;5.664;1.307;12
Biotrinidad;Biotrinidad S.A.;Bioethanol;19200.00;Biogenic point source;San Miguel de Tucumán;Tucumán;-26.82826317;-65.20884372;Bioethanol;22.795;;80%;;;estimated;1.052853232;;;Sugar Cane;;Carbio;;12.083;2.789;27
