Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provinc1028453ia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source
Fábrica de aluminio de Aluar;Aluar;Aluminium;612057.6;Industrial point source;Puerto Madryn;Chubut;-42.63615141;-65.1028453;Aluminium;460000;;0.8316;;2021;estimated;1.6;;;;;
Bunge Campana;Bunge Argentina S.A;Ammonia;26486.46;Industrial point source;Campana;Buenos Aires;-34.09354048;-59.00465275;Ammonia;29700;;0.98;N-Ren;2021;estimated;0.91;;;Natural gas;;
Profertil Bahia Blanca;Profertil S.A.;Ammonia;710621;Industrial point source;Bahia Blanca;Buenos Aires;-38.78424491;-62.28168815;Ammonia;790000;;0.98;Haldor Topsoe;2021;Sustainability report Profertil 2021;1.25;;;Natural gas;;https://rs.profertil.com.ar/
Austin Powder;Austin Powder;Ammonia;53508;Industrial point source;El Galpón;Salta;-25.37919283;-64.65198658;Ammonia;60000;;0.98;Girdler Corp.;2021;estimated;0.91;;;Natural gas;;
Bioenergía la Corona;Bioenergia La Corona S.A.;Bioethanol;21600;Biogenic point source;Concepción;Tucumán;-27.3548157;-65.60294134;Bioethanol;25644.6;;0.8;;;estimated;1.052853232;;;Sugar Cane;;Carbio
Bioenergías Agropecuarias S.A.;BIOENERGÍASAGROPECUARIAS S.A.;Bioethanol;22000;Biogenic point source;General Obligado;Santa Fe;-28.48761165;-59.39684115;Bioethanol;26119.5;;0.8;;;estimated;1.052853232;;;Sugar Cane;;Carbio
Ingenio Santa Rosa;Bioenergía Santa Rosa S.A.;Bioethanol;21600;Biogenic point source;Monteros;Tucumán;-27.22139848;-65.51695443;Bioethanol;25644.6;;0.8;;;estimated;1.052853232;;;Sugar Cane;;Carbio
Ingenio Ledesma;Bio Ledesma S.A.;Bioethanol;66000;Biogenic point source;Libertador General San Martin;Jujuy;-23.82436777;-64.78800974;Bioethanol;78358.5;;0.8;;;estimated;1.052853232;;;Sugar Cane;;Carbio
Bio San Isidro;Bio San Isidro S.A.;Bioethanol;9000;Biogenic point source;Campo Santo;Salta;-24.6810765;-65.09802875;Bioethanol;10685.25;;0.8;;;estimated;1.052853232;;;Sugar Cane;;Carbio
Biotrinidad;Biotrinidad S.A.;Bioethanol;19200;Biogenic point source;San Miguel de Tucumán;Tucumán;-26.82826317;-65.20884372;Bioethanol;22795.2;;0.8;;;estimated;1.052853232;;;Sugar Cane;;Carbio
