latitude,longitude,altitude,geometry,Name,Company,Industry,CO2_emissions_t,Source_CO2_emissions,City,Province,Primary product,Installed Capacity [t/a],Columna1,Utility of the installed capacity,Process,year_emission,Source,CO2 factor [tCO2/tproduct]
-42.63615141,-65.1028453,,Point,Fábrica de aluminio de Aluar,Aluar,Aluminium,612057.6,Industrial point source,Puerto Madryn,Chubut,Aluminium,460000,,0.8316,,2021,Estimated. See sources and methodology.,1.6
-34.09354048,-59.00465275,,Point,Bunge Campana,Bunge Argentina S.A,Ammonia,36382.5,Industrial point source,Campana,Buenos Aires,Ammonia,29700,,0.98,N-Ren,2021,Estimated. See sources and methodology.,1.25
-38.78424491,-62.28168815,,Point,Profertil Bahia Blanca,Profertil S.A.,Ammonia,710621,Industrial point source,Bahia Blanca,Buenos Aires,Ammonia,790000,,0.98,Haldor Topsoe,2021,Sustainability report Profertil 2021,1.25
-25.37919283,-64.65198658,,Point,Austin Powder,Austin Powder,Ammonia,73500,Industrial point source,El Galpón,Salta,Ammonia,60000,,0.98,Girdler Corp.,2021,Estimated. See sources and methodology.,1.25
-27.3548157,-65.60294134,,Point,Bioenergía la Corona,Bioenergia La Corona S.A.,Bioethanol,21600,Biogenic point source,Concepción,Tucumán,Bioethanol,25644.6,,0.8,,,Estimated. See sources and methodology.,1.052853232
-28.48761165,-59.39684115,,Point,Bioenergías Agropecuarias S.A.,BIOENERGÍASAGROPECUARIAS S.A.,Bioethanol,22000,Biogenic point source,General Obligado,Santa Fe,Bioethanol,26119.5,,0.8,,,Estimated. See sources and methodology.,1.052853232
-27.22139848,-65.51695443,,Point,Ingenio Santa Rosa,Bioenergía Santa Rosa S.A.,Bioethanol,21600,Biogenic point source,Monteros,Tucumán,Bioethanol,25644.6,,0.8,,,Estimated. See sources and methodology.,1.052853232
-23.82436777,-64.78800974,,Point,Ingenio Ledesma,Bio Ledesma S.A.,Bioethanol,66000,Biogenic point source,Libertador General San Martin,Jujuy,Bioethanol,78358.5,,0.8,,,Estimated. See sources and methodology.,1.052853232
-24.6810765,-65.09802875,,Point,Bio San Isidro,Bio San Isidro S.A.,Bioethanol,9000,Biogenic point source,Campo Santo,Salta,Bioethanol,10685.25,,0.8,,,Estimated. See sources and methodology.,1.052853232
-26.82826317,-65.20884372,,Point,Biotrinidad,Biotrinidad S.A.,Bioethanol,19200,Biogenic point source,San Miguel de Tucumán,Tucumán,Bioethanol,22795.2,,0.8,,,Estimated. See sources and methodology.,1.052853232
-26.81731107,-65.08538766,,Point,Compañía Bioenergética La Florida,Compañía Bioenergética La Florida S.A.,Bioethanol,83333.33333,Biogenic point source,La Florida,Tucumán,Bioethanol,98937.5,,0.8,,,Estimated. See sources and methodology.,1.052853232
-27.4571049,-65.60985513,,Point,Energías Ecológicas de Tucumán,Energías Ecológicas de Tucumán - Grupo Colombres,Bioethanol,22000,Biogenic point source,Aguilares,Tucumán,Bioethanol,26119.5,,0.8,,,Estimated. See sources and methodology.,1.052853232
-27.0235712,-65.30157927,,Point,Fronterita Energía S.A.,Fronterita Energia S.A.,Bioethanol,21333.33333,Biogenic point source,Juan XXIII,Tucumán,Bioethanol,25328,,0.8,,,Estimated. See sources and methodology.,1.052853232
-24.31258742,-64.9683694,,Point,Ingenio Río Grande,Rio Grande Energia S.A.,Bioethanol,14400,Biogenic point source,La Mendieta,Jujuy,Bioethanol,17096.4,,0.8,,,Estimated. See sources and methodology.,1.052853232
-32.41597156,-63.16162482,,Point,ACA,Aca Bio Cooperativa Ltda.,Bioethanol,83333.33333,Biogenic point source,Villa María,Córdoba,Bioethanol,98937.5,,0.8,,,Estimated. See sources and methodology.,1.052853232
-33.17998671,-64.38329425,,Point,Bio IV,Bioetanol Rio Cuarto A.A.,Bioethanol,66666.66667,Biogenic point source,Río Cuarto,Córdoba,Bioethanol,79150,,0.8,,,Estimated. See sources and methodology.,1.052853232
-33.32563333,-66.36372385,,Point,Diaser,Derivados San Luis,Bioethanol,61600,Biogenic point source,San Luis,San Luis,Bioethanol,73134.6,,0.8,,,Estimated. See sources and methodology.,1.052853232
-31.37191425,-64.18185929,,Point,Maíz Energía,MAÍZ ENERGÍA S.A.,Bioethanol,39200,Biogenic point source,Ciudad de Córdoba,Córdoba,Bioethanol,46540.2,,0.8,,,Estimated. See sources and methodology.,1.052853232
-33.36537538,-63.71712134,,Point,Promaíz,Promaiz S.A.,Bioethanol,146666.6667,Biogenic point source,Alejandro Roca,Córdoba,Bioethanol,174130,,0.8,,,Estimated. See sources and methodology.,1.052853232
-31.62099492,-60.71499331,,Point,Vicentin,Vicentin S.A.I.C.,Bioethanol,76666.66667,Biogenic point source,Avellaneda,Santa Fe,Bioethanol,91022.5,,0.8,,,Estimated. See sources and methodology.,1.052853232
-23.2022408,-64.29616772,,Point,Seaboard Energía Renovables y Alimentos,Seaboard Energía Renovables y Alimentos,Bioethanol,165000,Biogenic point source,Orán,Salta,Bioethanol,195896.25,,0.8,,,Estimated. See sources and methodology.,1.052853232
