Name;Company;Industry;CO2_emissions_t;Source_CO2_emissions;Source;City;Province;latitude;longitude
TEST DDT;DDT;Aluminium;612057.60;Industrial point source;;Puerto Madryn;Chubut;48.2886041;14.3320535
Fxbrica de aluminio de Aluar;Aluar;Aluminium;612057.60;Industrial point source;;Puerto Madryn;Chubut;-42.636151405294;-65.102845300067
Bunge Campana;Bunge Argentina S.A;Ammonia;27027.00;Industrial point source;;Campana;Buenos Aires;-34.093540477338;-59.004652749122
Profertil Bahia Blanca;Profertil S.A.;Ammonia;710621.00;Industrial point source;https://rs.profertil.com.ar/;Bahia Blanca;Buenos Aires;-38.784244912389;-62.281688152983
Austin Powder;Austin Powder;Ammonia;54600.00;Industrial point source;;El Galpxn;Salta;-25.379192832399;-64.651986584188
Bioenergxa la Corona;Bioenergia La Corona S.A.;Bioethanol;24300.00;Biogenic point source;Carbio;Concepcixn;Tucumxn;-27.354815697666;-65.602941337606
Bioenergxas Agropecuarias S.A.;BIOENERGxASAGROPECUARIAS S.A.;Bioethanol;24750.00;Biogenic point source;Carbio;General Obligado;Santa Fe;-28.487611654481;-59.396841152866
Ingenio Santa Rosa;Bioenergxa Santa Rosa S.A.;Bioethanol;24300.00;Biogenic point source;Carbio;Monteros;Tucumxn;-27.221398484002;-65.516954427435
Ingenio Ledesma;Bio Ledesma S.A.;Bioethanol;74250.00;Biogenic point source;Carbio;Libertador General San Martin;Jujuy;-23.824367770667;-64.788009742716
Bio San Isidro;Bio San Isidro S.A.;Bioethanol;10125.00;Biogenic point source;Carbio;Campo Santo;Salta;-24.681076499462;-65.098028752545
Biotrinidad;Biotrinidad S.A.;Bioethanol;21600.00;Biogenic point source;Carbio;San Miguel de Tucumxn;Tucumxn;-26.828263171350;-65.208843723293
Compaxxa Bioenergxtica La Florida;Compaxxa Bioenergxtica La Florida S.A.;Bioethanol;93750.00;Biogenic point source;Carbio;La Florida;Tucumxn;-26.817311067583;-65.085387664602
Energxas Ecolxgicas de Tucumxn;Energxas Ecolxgicas de Tucumxn - Grupo Colombres;Bioethanol;24750.00;Biogenic point source;Carbio;Aguilares;Tucumxn;-27.457104897341;-65.609855130089
Fronterita Energxa S.A.;Fronterita Energia S.A.;Bioethanol;24000.00;Biogenic point source;Carbio;Juan XXIII;Tucumxn;-27.023571204313;-65.301579272432
Ingenio Rxo Grande;Rio Grande Energia S.A.;Bioethanol;16200.00;Biogenic point source;Carbio;La Mendieta;Jujuy;-24.312587422242;-64.968369396614
